연번,시위일자,호선,역명,,,,*6/30 (퇴근길이라 삭제)
204,2022-07-20,4,회현(남대문시장),,,,
205,2022-07-20,4,명동,,,,
206,2022-07-20,4,충무로,,,,
207,2022-07-20,4,동대문역사문화공원(DDP),,,,
208,2022-07-20,4,동대문,,,,
209,2022-07-20,4,혜화,,,,
210,2022-07-21,4,삼각지,,,,
211,2022-07-21,4,?,,,,
212,2022-07-22,4,삼각지,,,,
213,2022-07-22,4,숙대입구(갈월),,,,
214,2022-07-22,4,서울역,,,,
215,2022-07-22,4,회현(남대문시장),,,,
216,2022-07-22,4,명동,,,,
217,2022-07-22,4,충무로,,,,
218,2022-07-22,4,동대문역사문화공원(DDP),,,,
219,2022-07-22,4,동대문,,,,
220,2022-07-22,4,혜화,,,,
221,2022-07-25,4,삼각지,,,,
222,2022-07-25,4,?,,,,
223,2022-07-26,4,삼각지,,,,
224,2022-07-26,4,?,,,,
225,2022-07-27,4,삼각지,,,,
226,2022-07-27,4,?,,,,
227,2022-07-28,4,삼각지,,,,
228,2022-07-28,4,숙대입구(갈월),,,,
229,2022-07-28,4,서울역,,,,
230,2022-07-28,4,회현(남대문시장),,,,
231,2022-07-28,4,명동,,,,
232,2022-07-28,4,충무로,,,,
233,2022-07-28,4,동대문역사문화공원(DDP),,,,
234,2022-07-28,4,동대문,,,,
235,2022-07-28,4,혜화,,,,
236,2022-07-29,4,삼각지,,,,
237,2022-07-29,4,?,,,,
238,2022-08-02,4,삼각지,,,,
239,2022-08-02,4,숙대입구(갈월),,,,
240,2022-08-02,4,서울역,,,,
241,2022-08-02,4,회현(남대문시장),,,,
242,2022-08-02,4,명동,,,,
243,2022-08-02,4,충무로,,,,
244,2022-08-02,4,동대문역사문화공원(DDP),,,,
245,2022-08-02,4,동대문,,,,
246,2022-08-02,4,혜화,,,,
247,2022-08-03,4,삼각지,,,,
248,2022-08-03,4,숙대입구(갈월),,,,
249,2022-08-03,4,서울역,,,,
250,2022-08-03,4,회현(남대문시장),,,,
251,2022-08-03,4,명동,,,,
252,2022-08-03,4,충무로,,,,
253,2022-08-03,4,동대문역사문화공원(DDP),,,,
254,2022-08-03,4,동대문,,,,
255,2022-08-03,4,혜화,,,,
256,2022-08-04,4,삼각지,,,,
257,2022-08-04,4,숙대입구(갈월),,,,
258,2022-08-04,4,서울역,,,,
259,2022-08-04,4,회현(남대문시장),,,,
260,2022-08-04,4,명동,,,,
261,2022-08-04,4,충무로,,,,
262,2022-08-04,4,동대문역사문화공원(DDP),,,,
263,2022-08-04,4,동대문,,,,
264,2022-08-04,4,혜화,,,,
265,2022-08-05,4,삼각지,,,,
266,2022-08-05,4,?,,,,
267,2022-08-09,4,삼각지,,,,
268,2022-08-09,4,숙대입구(갈월),,,,
269,2022-08-09,4,서울역,,,,
270,2022-08-09,4,회현(남대문시장),,,,
271,2022-08-09,4,명동,,,,
272,2022-08-09,4,충무로,,,,
273,2022-08-09,4,동대문역사문화공원(DDP),,,,
274,2022-08-09,4,동대문,,,,
275,2022-08-09,4,혜화,,,,
276,2022-08-10,4,삼각지,,,,
277,2022-08-10,4,숙대입구(갈월),,,,
278,2022-08-10,4,서울역,,,,
279,2022-08-10,4,회현(남대문시장),,,,
280,2022-08-10,4,명동,,,,
