수송일자,호선,역명,07-10시간대
2022-06-17,4,당고개,3956
2022-06-17,4,상계,8538
2022-06-17,4,노원,5748
2022-06-17,4,창동,9174
2022-06-17,4,쌍문,13503
2022-06-17,4,수유(강북구청),12759
2022-06-17,4,미아(서울사이버대학),5340
2022-06-17,4,미아사거리,10337
2022-06-17,4,길음,9379
2022-06-17,4,성신여대입구(돈암),5466
2022-06-17,4,한성대입구(삼선교),3842
2022-06-17,4,혜화,2441
2022-06-17,4,동대문,1071
2022-06-17,4,동대문역사문화공원(DDP),973
2022-06-17,4,충무로,1481
2022-06-17,4,명동,826
2022-06-17,4,회현(남대문시장),883
2022-06-17,4,서울역,1611
2022-06-17,4,숙대입구(갈월),2488
2022-06-17,4,삼각지,1022
2022-06-17,4,신용산,1705
2022-06-17,4,이촌(국립중앙박물관),1730
2022-06-17,4,동작(현충원),361
2022-06-17,4,총신대입구(이수),5974
2022-06-17,4,사당,9301
2022-06-17,4,남태령,324
2022-06-18,4,당고개,1807
2022-06-18,4,상계,3327
2022-06-18,4,노원,2506
2022-06-18,4,창동,3874
2022-06-18,4,쌍문,5699
2022-06-18,4,수유(강북구청),6086
2022-06-18,4,미아(서울사이버대학),2505
2022-06-18,4,미아사거리,4453
2022-06-18,4,길음,3364
2022-06-18,4,성신여대입구(돈암),2316
2022-06-18,4,한성대입구(삼선교),1728
2022-06-18,4,혜화,1411
2022-06-18,4,동대문,577
2022-06-18,4,동대문역사문화공원(DDP),604
2022-06-18,4,충무로,1001
2022-06-18,4,명동,728
2022-06-18,4,회현(남대문시장),639
2022-06-18,4,서울역,910
2022-06-18,4,숙대입구(갈월),1226
2022-06-18,4,삼각지,379
2022-06-18,4,신용산,823
2022-06-18,4,이촌(국립중앙박물관),695
2022-06-18,4,동작(현충원),228
2022-06-18,4,총신대입구(이수),2321
2022-06-18,4,사당,3281
2022-06-18,4,남태령,280
2022-06-19,4,당고개,1127
2022-06-19,4,상계,1973
2022-06-19,4,노원,1720
2022-06-19,4,창동,2446
2022-06-19,4,쌍문,3573
2022-06-19,4,수유(강북구청),3930
2022-06-19,4,미아(서울사이버대학),1675
2022-06-19,4,미아사거리,2936
2022-06-19,4,길음,1992
2022-06-19,4,성신여대입구(돈암),1564
2022-06-19,4,한성대입구(삼선교),1088
2022-06-19,4,혜화,915
2022-06-19,4,동대문,283
2022-06-19,4,동대문역사문화공원(DDP),494
2022-06-19,4,충무로,663
2022-06-19,4,명동,615
2022-06-19,4,회현(남대문시장),422
2022-06-19,4,서울역,613
2022-06-19,4,숙대입구(갈월),890
2022-06-19,4,삼각지,281
2022-06-19,4,신용산,511
2022-06-19,4,이촌(국립중앙박물관),424
2022-06-19,4,동작(현충원),112
2022-06-19,4,총신대입구(이수),1656
2022-06-19,4,사당,2238
2022-06-19,4,남태령,182
2022-06-20,4,당고개,3948
2022-06-20,4,상계,8364
2022-06-20,4,노원,5590
2022-06-20,4,창동,9285
2022-06-20,4,쌍문,12878
2022-06-20,4,수유(강북구청),12070
2022-06-20,4,미아(서울사이버대학),5042
2022-06-20,4,미아사거리,10005
2022-06-20,4,길음,8788
2022-06-20,4,성신여대입구(돈암),5015
2022-06-20,4,한성대입구(삼선교),3629
2022-06-20,4,혜화,2555
2022-06-20,4,동대문,1004
2022-06-20,4,동대문역사문화공원(DDP),1013
2022-06-20,4,충무로,1524
2022-06-20,4,명동,884
2022-06-20,4,회현(남대문시장),815
2022-06-20,4,서울역,1517
2022-06-20,4,숙대입구(갈월),2469
2022-06-20,4,삼각지,1066
2022-06-20,4,신용산,1757
2022-06-20,4,이촌(국립중앙박물관),1837
2022-06-20,4,동작(현충원),396
2022-06-20,4,총신대입구(이수),6036
2022-06-20,4,사당,9982
2022-06-20,4,남태령,351
2022-06-21,4,당고개,4066
2022-06-21,4,상계,8698
2022-06-21,4,노원,5847
2022-06-21,4,창동,9385
2022-06-21,4,쌍문,13633
2022-06-21,4,수유(강북구청),12824
2022-06-21,4,미아(서울사이버대학),5385
2022-06-21,4,미아사거리,10552
2022-06-21,4,길음,9506
2022-06-21,4,성신여대입구(돈암),5569
2022-06-21,4,한성대입구(삼선교),3906
2022-06-21,4,혜화,2487
2022-06-21,4,동대문,1055
2022-06-21,4,동대문역사문화공원(DDP),961
2022-06-21,4,충무로,1463
2022-06-21,4,명동,893
2022-06-21,4,회현(남대문시장),891
2022-06-21,4,서울역,1588
2022-06-21,4,숙대입구(갈월),2526
2022-06-21,4,삼각지,989
2022-06-21,4,신용산,1724
2022-06-21,4,이촌(국립중앙박물관),1684
2022-06-21,4,동작(현충원),320
2022-06-21,4,총신대입구(이수),6110
2022-06-21,4,사당,9969
2022-06-21,4,남태령,303
2022-06-22,4,당고개,3991
2022-06-22,4,상계,8586
2022-06-22,4,노원,5887
2022-06-22,4,창동,9238
2022-06-22,4,쌍문,13599
2022-06-22,4,수유(강북구청),12726
2022-06-22,4,미아(서울사이버대학),5439
2022-06-22,4,미아사거리,10612
2022-06-22,4,길음,9688
2022-06-22,4,성신여대입구(돈암),5579
